UMAP1,UMAP2,Group,Sensitivity,Intensity_LowerQuartileIntensity_pLCK,pLCK_x_AreaShape_Area,subtype
12.579052,12.446237,SJ65,1,0.006917238,6.695299016,TAL1 DP-like with LMO2::TRB
12.22183,12.309929,SJ65,1,0.011372872,7.273323468,TAL1 DP-like with LMO2::TRB
8.779866,13.32664,SJ65,1,0.002766784,4.694352572,TAL1 DP-like with LMO2::TRB
11.809703,11.795907,SJ65,1,0.004567349,3.951902649,TAL1 DP-like with LMO2::TRB
10.778355,13.410046,SJ65,1,-7.14E-05,2.348769465,TAL1 DP-like with LMO2::TRB
8.482031,13.503453,SJ65,1,0.01265463,7.059512016,TAL1 DP-like with LMO2::TRB
10.69691,7.726222,SJ65,1,-0.003489415,0.425852856,TAL1 DP-like with LMO2::TRB
8.32895,12.790621,SJ65,1,0.002034351,2.959754535,TAL1 DP-like with LMO2::TRB
11.530817,9.0503235,SJ65,1,0.000905184,3.480251488,TAL1 DP-like with LMO2::TRB
11.413612,5.1535406,SJ65,1,-0.00715158,-1.94656308,TAL1 DP-like with LMO2::TRB
7.7370353,10.087832,SJ65,1,-0.001734628,-0.801396204,TAL1 DP-like with LMO2::TRB
8.723022,13.518224,SJ65,1,0.002583676,1.22898942,TAL1 DP-like with LMO2::TRB
12.54256,11.462564,SJ65,1,0.000920443,2.073560993,TAL1 DP-like with LMO2::TRB
11.268307,12.522048,SJ65,1,0.001088292,3.483299012,TAL1 DP-like with LMO2::TRB
7.736725,11.872743,SJ65,1,-0.000529165,0.441240688,TAL1 DP-like with LMO2::TRB
8.4633255,13.588105,SJ65,1,0.002522639,2.290789056,TAL1 DP-like with LMO2::TRB
10.774981,8.440726,SJ65,1,-0.002665428,-0.826660593,TAL1 DP-like with LMO2::TRB
10.415219,7.0936093,SJ65,1,-0.002818018,0.057326178,TAL1 DP-like with LMO2::TRB
9.230373,13.605957,SJ65,1,0.006154287,5.709701356,TAL1 DP-like with LMO2::TRB
11.6083975,12.930972,SJ65,1,0.005803329,8.332440747,TAL1 DP-like with LMO2::TRB
12.078187,13.003665,SJ65,1,0.004842011,2.586934416,TAL1 DP-like with LMO2::TRB
