UMAP1,UMAP2,Group,Sensitivity,Intensity_UpperQuartileIntensity_pBCL2,Intensity_MinIntensityEdge_BCL_2,subtype
5.9120708,2.3652368,SJ65,0,0.043848493,0.002695404,TAL1 DP-like with LMO2::TRB
3.0848742,4.6103396,SJ65,0,0.037481651,0.002573332,TAL1 DP-like with LMO2::TRB
3.5667536,-0.97127414,SJ65,0,-0.015432815,-0.001699194,TAL1 DP-like with LMO2::TRB
3.8398821,-0.45224258,SJ65,0,-0.008097037,-0.001271942,TAL1 DP-like with LMO2::TRB
4.589648,-0.5204203,SJ65,0,-0.024088501,0.001108466,TAL1 DP-like with LMO2::TRB
5.6378074,2.7882307,SJ65,0,0.030985118,0.004343378,TAL1 DP-like with LMO2::TRB
3.0743499,-0.19655187,SJ65,0,0.007345081,-0.000722617,TAL1 DP-like with LMO2::TRB
0.06705008,1.5511749,SJ65,0,0.033529565,-0.000783653,TAL1 DP-like with LMO2::TRB
4.9759884,0.34595722,SJ65,0,-0.015718921,0.006418605,TAL1 DP-like with LMO2::TRB
5.8018594,4.1647573,SJ65,0,-0.029261305,0.005503064,TAL1 DP-like with LMO2::TRB
5.515964,4.1818833,SJ65,0,-0.030813909,0.031504438,TAL1 DP-like with LMO2::TRB
1.2464861,6.7823305,SJ65,0,0.09564142,-0.00285888,TAL1 DP-like with LMO2::TRB
4.7763824,4.297435,SJ65,0,0.038030968,0.004343378,TAL1 DP-like with LMO2::TRB
8.101478,0.82249033,SJ65,0,-0.058879069,-0.001577122,TAL1 DP-like with LMO2::TRB
5.9429984,3.3128605,SJ65,0,0.021383391,0.002695404,TAL1 DP-like with LMO2::TRB
3.3647332,-0.96448755,SJ65,0,-0.006273589,0.000986394,TAL1 DP-like with LMO2::TRB
5.764565,0.7539262,SJ65,0,-0.047358505,-0.000966761,TAL1 DP-like with LMO2::TRB
1.0875137,5.4476104,SJ65,0,0.176388346,-0.002614736,TAL1 DP-like with LMO2::TRB
6.08172,2.7495391,SJ65,0,-0.031168684,0.002207115,TAL1 DP-like with LMO2::TRB
4.3120165,-0.4041449,SJ65,0,-0.004804909,0.004526487,TAL1 DP-like with LMO2::TRB
3.6826315,-0.3765416,SJ65,0,-0.007044166,0.000864321,TAL1 DP-like with LMO2::TRB
1.8204814,3.1103625,SJ65,0,0.08129795,0.001169502,TAL1 DP-like with LMO2::TRB
1.1983546,4.9084554,SJ65,0,0.109717862,-0.002065411,TAL1 DP-like with LMO2::TRB
4.323254,-0.9328256,SJ65,0,0.001882353,-0.00145505,TAL1 DP-like with LMO2::TRB
5.635934,0.43438232,SJ65,0,-0.063178296,-0.002431627,TAL1 DP-like with LMO2::TRB
3.0035443,5.9160585,SJ65,0,0.088172124,-0.002065411,TAL1 DP-like with LMO2::TRB
0.87562084,5.2622724,SJ65,0,0.048368976,0.000681213,TAL1 DP-like with LMO2::TRB
5.2246532,0.22154795,SJ65,0,-0.002702981,-0.001149869,TAL1 DP-like with LMO2::TRB
5.293112,1.8712498,SJ65,0,-0.058093227,-0.001516086,TAL1 DP-like with LMO2::TRB
6.475062,0.12129231,SJ65,0,-0.126976271,-0.001210906,TAL1 DP-like with LMO2::TRB
6.300214,0.6707459,SJ65,0,-0.069094985,-0.002736808,TAL1 DP-like with LMO2::TRB
4.5856376,0.99838865,SJ65,0,0.032873423,-0.001210906,TAL1 DP-like with LMO2::TRB
1.8987712,2.778432,SJ65,0,0.002546125,-0.00176023,TAL1 DP-like with LMO2::TRB
1.4923998,0.7315772,SJ65,0,0.052420244,-0.002492663,TAL1 DP-like with LMO2::TRB
0.5343006,2.408866,SJ65,0,0.075549104,0.001962971,TAL1 DP-like with LMO2::TRB
5.065741,-0.7380477,SJ65,0,-0.068259555,-0.001943339,TAL1 DP-like with LMO2::TRB
4.4828334,1.9138068,SJ65,0,0.025304959,-0.002492663,TAL1 DP-like with LMO2::TRB
5.2516837,3.6775193,SJ65,0,0.020475463,0.001413646,TAL1 DP-like with LMO2::TRB
2.3676736,-0.11592734,SJ65,0,0.012151682,-0.00285888,TAL1 DP-like with LMO2::TRB
4.703537,0.5746455,SJ65,0,-0.005350425,-0.00285888,TAL1 DP-like with LMO2::TRB
5.084369,-0.7944126,SJ65,0,0.011964754,-0.00285888,TAL1 DP-like with LMO2::TRB
0.9031204,6.3603964,SJ65,0,0.083285437,-0.002736808,TAL1 DP-like with LMO2::TRB
-1.2751294,2.3548963,SJ65,0,0.104869322,-0.00279788,TAL1 DP-like with LMO2::TRB
5.524485,0.32916415,SJ65,0,-0.064917824,-0.002126447,TAL1 DP-like with LMO2::TRB
4.4742627,0.3342625,SJ65,0,-2.50E-05,0.004465451,TAL1 DP-like with LMO2::TRB
-0.21756652,1.5532362,SJ65,0,0.06694682,-0.00285888,TAL1 DP-like with LMO2::TRB
-0.8466612,4.233558,SJ65,0,0.061697707,-0.00285888,TAL1 DP-like with LMO2::TRB
3.7734928,1.0445768,SJ65,0,0.108287328,-0.00285888,TAL1 DP-like with LMO2::TRB
4.9562173,-0.4660936,SJ65,0,-0.050627749,-0.002736808,TAL1 DP-like with LMO2::TRB
4.117124,4.289875,SJ65,0,0.062315718,0.002878512,TAL1 DP-like with LMO2::TRB
-0.15282123,1.7902082,SJ65,0,0.098441438,-0.001699194,TAL1 DP-like with LMO2::TRB
5.1956654,0.25863543,SJ65,0,-0.049342185,-0.001821266,TAL1 DP-like with LMO2::TRB
1.1382247,2.6893246,SJ65,0,0.071341418,-0.000173292,TAL1 DP-like with LMO2::TRB
1.162879,2.5128458,SJ65,0,0.066878156,7.09E-05,TAL1 DP-like with LMO2::TRB
0.56556684,5.7840824,SJ65,0,0.105124906,0.006052389,TAL1 DP-like with LMO2::TRB
3.3021328,5.417439,SJ65,0,0.074637369,-0.002309555,TAL1 DP-like with LMO2::TRB
4.346329,-0.40498626,SJ65,0,-0.037016704,-0.002370591,TAL1 DP-like with LMO2::TRB
4.525926,-0.6651633,SJ65,0,-0.053546041,-0.002736808,TAL1 DP-like with LMO2::TRB
5.5121484,-0.21497588,SJ65,0,-0.064547791,0.001291574,TAL1 DP-like with LMO2::TRB
3.0352182,5.8151426,SJ65,0,0.056177781,0.010324915,TAL1 DP-like with LMO2::TRB
3.752379,-0.60030866,SJ65,0,-0.04266636,0.001291574,TAL1 DP-like with LMO2::TRB
-0.16654478,2.429157,SJ65,0,0.07840635,-0.002736808,TAL1 DP-like with LMO2::TRB
4.353449,1.3858932,SJ65,0,0.030981318,0.002207115,TAL1 DP-like with LMO2::TRB
6.1344514,0.16428334,SJ65,0,-0.020758215,-0.000173292,TAL1 DP-like with LMO2::TRB
5.622647,-0.076207854,SJ65,0,-0.050639197,0.00135261,TAL1 DP-like with LMO2::TRB
6.291072,1.5052358,SJ65,0,-0.075831845,0.000437069,TAL1 DP-like with LMO2::TRB
2.7628057,6.415341,SJ65,0,0.141853378,0.002329187,TAL1 DP-like with LMO2::TRB
-1.2583133,2.438088,SJ65,0,0.091666446,-0.0003564,TAL1 DP-like with LMO2::TRB
4.2022214,4.788234,SJ65,0,0.003972844,0.012217034,TAL1 DP-like with LMO2::TRB
1.87494,6.451828,SJ65,0,0.120704368,0.025461865,TAL1 DP-like with LMO2::TRB
1.4287345,2.2713218,SJ65,0,0.124778525,0.003549909,TAL1 DP-like with LMO2::TRB
0.20186947,4.1193166,SJ65,0,0.092993975,-0.00285888,TAL1 DP-like with LMO2::TRB
4.9214225,-0.24108206,SJ65,0,-0.043971001,-0.001516086,TAL1 DP-like with LMO2::TRB
3.402912,0.75918275,SJ65,0,0.098761872,-0.001210906,TAL1 DP-like with LMO2::TRB
4.2908154,4.3244133,SJ65,0,-0.025911956,-0.0025537,TAL1 DP-like with LMO2::TRB
1.3347085,7.427788,SJ65,0,0.203099274,0.000925357,TAL1 DP-like with LMO2::TRB
3.1086721,5.379458,SJ65,0,0.060721145,-0.002614736,TAL1 DP-like with LMO2::TRB
1.6313683,6.9698024,SJ65,0,0.120464028,-0.001943339,TAL1 DP-like with LMO2::TRB
2.806074,0.46033123,SJ65,0,0.010824137,0.004953739,TAL1 DP-like with LMO2::TRB
6.1011515,1.4406605,SJ65,0,-0.002039212,0.00245126,TAL1 DP-like with LMO2::TRB
4.6888485,-0.70911914,SJ65,0,-0.061862207,-0.002065411,TAL1 DP-like with LMO2::TRB
5.077479,2.0462272,SJ65,0,-0.020510259,-0.000173292,TAL1 DP-like with LMO2::TRB
7.0410266,2.025923,SJ65,0,-0.015429008,-0.002675772,TAL1 DP-like with LMO2::TRB
4.057582,4.852215,SJ65,0,0.025648282,0.000498105,TAL1 DP-like with LMO2::TRB
3.216892,-0.1420064,SJ65,0,0.004922722,0.000314997,TAL1 DP-like with LMO2::TRB
8.827154,4.1835647,SJ65,0,-0.026835128,-0.001027797,TAL1 DP-like with LMO2::TRB
5.5511746,0.52899444,SJ65,0,-0.046160675,-0.000783653,TAL1 DP-like with LMO2::TRB
6.2969813,1.6411997,SJ65,0,-0.0047248,-0.000417436,TAL1 DP-like with LMO2::TRB
3.4050393,5.3205895,SJ65,0,0.147850157,0.003488873,TAL1 DP-like with LMO2::TRB
-0.49081412,1.6326716,SJ65,0,0.099845276,0.00385509,TAL1 DP-like with LMO2::TRB
-1.7794973,2.9170322,SJ65,0,0.059645393,0.003061621,TAL1 DP-like with LMO2::TRB
4.273885,0.37237915,SJ65,0,-0.006582584,0.006235497,TAL1 DP-like with LMO2::TRB
6.020617,2.5379786,SJ65,0,-0.059977724,0.008127616,TAL1 DP-like with LMO2::TRB
6.9332066,2.0132072,SJ65,0,-0.015123829,0.001535718,TAL1 DP-like with LMO2::TRB
4.4693255,-0.48602575,SJ65,0,-0.0118355,-0.00285888,TAL1 DP-like with LMO2::TRB
6.0560784,2.6568384,SJ65,0,0.029104457,0.004038198,TAL1 DP-like with LMO2::TRB
1.4188701,-0.044649683,SJ65,0,0.031263605,-0.002431627,TAL1 DP-like with LMO2::TRB
1.9893109,0.47038907,SJ65,0,0.03888929,-0.002492663,TAL1 DP-like with LMO2::TRB
